Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
2722,17060305201,MAWIONG LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawiong Sung,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,Yes,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,1,2,0,0,0,0,Yes,Yes,2,1,0,0,Yes,2,2,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2723,17060305703,KSEHPYNGDENG PRES LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Ksehpyndeng,Rural,Co-ed,1,1,1,0,0,,,,1,1,1,No,Yes,N/A,No,Yes,Yes,Yes,No,No,Yes,No,7,0,0,0,7,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,29,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2724,17060305707,KSEHPYNDENG PRES SEC. SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Ksehpyndeng,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,N/A,N/A,No,No,No,Not applicable,No,No,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,4,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2725,17060305902,NONGKREM SSA UPS,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,4,0,0,,,,2,4,1,Yes,N/A,Yes,No,Yes,Yes,No,No,Yes,Yes,No,3,0,0,0,3,0,0,0,0,0,0,0,Yes,Yes,3,3,0,0,Yes,3,3,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,Yes,Yes,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,112,Not Applicable,41,Not Applicable,1,1,1,Yes,Yes,6,4,1,30,1,1,,No,,0,,No,,0
2726,17060305903,NONGKREM PRES. SECONDARY SCHOOL,Government Aided,7 - Upper Pr. and Secondary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010116,Nongkrem,Rural,Co-ed,1,2,7,1,0,,,,1,7,1,No,N/A,Yes,No,Yes,Yes,No,No,Yes,Yes,No,6,0,6,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,3,3,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,Yes,90,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,200,Not Applicable,29,No,1,2,0,Yes,Yes,14,10,1,0,0,2,,No,,0,,No,,0
2727,17060305904,PAHSYNTIEW MEMORIAL UP SCHOOL,Government Aided,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,1,1,1,0,0,,,,2,1,1,Yes,N/A,Yes,No,Yes,Yes,Yes,No,Yes,No,No,4,0,0,4,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,2,Not Applicable,1,2,0,Yes,Not Applicable,2,2,0,0,0,1,,No,,0,,No,,0
2728,17060305907,MAWLYNNEI SSA LPS- NONGKREM,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,2,0,0,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,27,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2729,17060305908,PAHSYNTIEW MEMORIAL SSA LP SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,No,Yes,No,4,0,0,4,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,70,Not Applicable,1,Not Applicable,1,2,0,No,Not Applicable,1,1,0,0,0,1,,No,,0,,No,,0
2730,17060305910,ST.PAUL'S RC LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,1,1,1,0,0,,,,1,1,1,No,Yes,N/A,No,Yes,Yes,No,No,No,No,No,5,0,0,0,5,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,30,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2731,17060305911,HEDRIK MEMO UNITARIAN SSA UP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,Yes,N/A,Yes,No,Yes,Yes,No,No,No,No,No,6,0,0,0,6,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,Yes,No,Yes,15,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,10,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2732,17060305912,IBASARA LP SCHOOL,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,1,1,4,0,0,,,,2,4,2,No,No,N/A,No,Yes,Yes,Yes,No,No,No,No,8,0,0,0,0,0,0,0,3,5,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2733,17060305915,IBASARA SSA UP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,4,0,0,,,,2,4,1,Yes,N/A,Yes,No,Yes,Yes,Yes,Yes,No,No,No,3,0,1,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,10,Not Applicable,2,2,0,No,Not Applicable,10,10,0,0,0,1,,No,,0,,No,,0
2734,17060305916,NONGKREM SECONDARY SCHOOL,Government Aided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,1,2,2,0,0,,,,2,2,2,Yes,N/A,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,Yes,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,6,6,0,0,Yes,6,6,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,Yes,Yes,No,0,,,Yes,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,2000,Not Applicable,38,Yes,2,1,2,Yes,Yes,30,25,0,1,2,2,,No,,0,,No,,0
2735,17060305918,IEWP0MTIAH GOVT. LP SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,No,Yes,N/A,No,Yes,Yes,Yes,No,Yes,Yes,No,7,0,6,0,0,1,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,40,Not Applicable,1,Not Applicable,2,2,0,No,Not Applicable,0,0,1,0,0,1,,No,,0,,No,,0
2736,17060305920,NONGKREM LP SCHOOL,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Nongkrem,Rural,Co-ed,1,1,2,0,0,,,,2,2,2,No,No,N/A,No,Yes,No,Not applicable,No,No,Yes,No,5,0,0,0,0,0,0,5,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,Yes,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2737,17060306003,ST. JOSEPH RC LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Kynton-U-Mon,Rural,Co-ed,1,1,1,0,0,,,,1,1,1,No,No,N/A,No,Yes,No,Not applicable,No,No,Yes,No,6,0,0,0,0,0,0,6,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2738,17060306005,SALEM SSA UP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Kynton-U-Mon,Rural,Co-ed,4,1,4,0,0,,,,2,4,1,Yes,N/A,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,1,Functional,No,Yes,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,4,Not Applicable,1,2,0,No,Not Applicable,4,4,0,0,0,0,,No,,0,,No,,0
2739,17060306007,KYNTON-U-MON SSA UP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Kynton-U-Mon,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,Yes,Yes,No,Yes,No,No,No,3,0,1,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,10,Not Applicable,10,Not Applicable,1,2,0,Yes,Not Applicable,9,0,0,0,0,1,,No,,0,,No,,0
2740,17060306008,SALEM HIGHER SECONDARY SCHOOL,Government Aided,10 - Secondary with Higher Secondary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Kynton-U-Mon,Rural,Co-ed,1,1,3,0,0,,,,2,3,1,Yes,N/A,N/A,No,Yes,No,Not applicable,No,Yes,No,No,4,0,2,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,Yes,No,0,,,Yes,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,5,No,1,2,0,No,Not Applicable,5,5,0,0,0,0,,No,,0,,No,,0
2741,17060306302,MAWMUTHOH PRES LPS SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,NONGKREM CRC-1707010006,Mawmuthoh,Rural,Co-ed,1,8,6,0,0,,,,2,6,1,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,8,0,1,0,0,2,5,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,Yes,60,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2742,17060400101,THANGSNING PRESBYTERIAN UP SCHOOL,Government Aided,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,1,1,7,0,2,,,,1,7,1,Yes,N/A,Yes,No,Yes,No,Not applicable,No,No,Yes,No,3,0,1,0,2,0,0,0,0,0,0,0,Yes,No,0,0,0,0,Yes,2,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2743,17060400103,MADANTHANGSNING RC LP,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,1,2,5,0,0,,,,1,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,6,0,2,0,1,3,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2744,17060400105,THANGSNING CHURCH OF GOD SSA LP SCHOOL-,Government,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,3,5,4,0,0,,,,2,4,1,Yes,Yes,N/A,No,Yes,Yes,Yes,No,Yes,Yes,No,5,0,5,0,0,0,0,0,0,0,0,0,Yes,Yes,3,3,0,0,Yes,3,3,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,Yes,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,11,Not Applicable,1,1,1,Yes,Not Applicable,10,10,0,0,0,1,,No,,0,,No,,0
2745,17060400106,THANGSNING PRESBYTERIAN LP,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,1,2,1,0,0,,,,1,1,2,No,No,N/A,No,Yes,No,Not applicable,No,No,No,No,4,0,3,0,1,0,0,0,0,0,0,0,No,Yes,2,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,3,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2746,17060400107,SENG BHALANG SSA LP CHOOL- MADAN THANGSNING,Government,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,3,0,0,3,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2747,17060400111,CHURCH OF GOD SECONDARY SCHOOL THANGSNING,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,1,2,4,0,0,,,,1,4,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,3,3,0,0,Yes,3,3,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,10,No,1,2,0,No,Not Applicable,10,10,0,0,0,1,,No,,0,,No,,0
2748,17060400112,THANGSNING PRESBYTERIAN SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thangsning,Rural,Co-ed,1,1,7,0,1,,,,1,7,1,No,N/A,N/A,No,Yes,No,Not applicable,No,No,Yes,No,2,0,1,0,1,0,0,0,0,0,0,0,Yes,No,0,0,0,0,Yes,2,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2749,17060400202,MAWLALI ROMAN CATHOLIC LP,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Mawlali,Rural,Co-ed,1,2,1,0,0,,,,1,1,1,No,No,N/A,No,No,No,Not applicable,No,No,Yes,No,4,0,0,0,0,0,2,2,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2750,17060400204,LUMSAIN SSA LP SCHOOL- MAWLALI,Government,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Mawlali,Rural,Co-ed,3,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,7,0,4,0,0,0,3,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,2,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,19,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2751,17060400205,RCLP SCHOOL LAMSAIN,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Mawlali,Rural,Co-ed,1,1,5,0,0,,,,1,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,1,2,1,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2752,17060400301,THYNROIT PRESBYTERIAN LPS,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thynroit,Rural,Co-ed,1,1,1,0,0,,,,1,1,2,No,No,N/A,Yes,Yes,No,Not applicable,Yes,Yes,Yes,No,7,0,7,0,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,3,3,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,Yes,Yes,200,,,Yes,,Yes for all,Yes,Yes,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,780,Not Applicable,2,Not Applicable,1,2,0,Yes,Not Applicable,2,2,0,0,0,0,,No,,0,,No,,0
2753,17060400302,THYNROIT GOVT. LP,Government,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thynroit,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,7,0,7,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2754,17060400303,THYNROIT ROMAN CATHOLIC LP,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWKYNREW-170604,THANGSNING CRC-1707010006,Thynroit,Rural,Co-ed,1,2,2,0,0,,,,1,2,1,No,No,N/A,No,"Yes, but not functional",No,Not applicable,No,Yes,Yes,No,5,0,2,0,3,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,1,Functional,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,Not Applicable,2,2,0,No,Not Applicable,1,1,0,0,0,0,,No,,0,,No,,0
